business_id,name,RestaurantsDelivery,OutdoorSeating,WiFi,HappyHour,RestaurantsTakeOut,RestaurantsReservations,BusinessParking,Price,AverageRating,lamb,calamari,crawfish
gsicNDwrLH4WGeWMDcJv6w,Ahmed Indian Restaurant,True,False,True,False,True,True,True,$$,3,False,False,False
n4diWKcRvAFctwdRA6IPMg,Ahmed Indian Restaurant,True,False,True,True,True,True,False,$$,3,False,False,False
ZCDaGq6eJfG5qB4n3b78Ag,Backlot Express,False,True,True,False,True,False,False,$$,3,False,False,False
CHTiicer1vhhJ0AfjuEHxA,Biergarten Restaurant,False,True,True,False,False,True,False,$$$,3,False,False,False
CnNt_kUkrJ-kpgPPGbMG4A,Boi Brazil Churrascaria,False,False,False,False,False,True,True,$$,3,True,False,False
ft1njL-bedfFyefTlDJAyA,Boston Lobster Feast,False,False,False,False,False,True,True,$$$,2,False,True,True
traOWnt8eIJlqsevJq27Mg,Breakfast with Goofy and his Pals,False,False,True,False,False,True,True,$$$$,4,False,False,False
SRxHN7ua5DQawthf7QMMUw,Buffet City,False,False,True,False,True,False,True,$,2,False,False,False
FKeg0KQtVfBTLBpt7mBZvA,Café Osceola,False,False,False,False,True,True,True,$$,3,False,False,False
Nv_O0QRGbHwgTQhDC87rMg,Cafe Gauguin,False,False,False,False,True,False,True,$$,2,False,False,False
OdbUi0riQRTDqvAHfGaT6g,Cafe Matisse,False,False,True,False,True,True,True,$$,2,False,False,False
1pzN6Qp10vGqfRX66d4q5w,Chef Mickey's,False,False,True,False,False,True,True,$$$,3,False,False,False
B2F2hFXUSbcr8dG69w6iVQ,Cici's Pizza,True,False,False,False,True,False,True,$,2,False,False,False
mb0IO3qQ0MMNmPypdz37fw,Cici's Pizza,True,False,False,False,True,False,False,$,2,False,False,False
TNpbiGJJd5iePBj19yTV_A,Cici's Pizza,True,False,False,False,True,False,False,$,2,False,False,False
8ardwENx6HbdkQaNv0AIyQ,Cici's Pizza,True,False,False,False,True,False,True,$,2,False,False,False
_715vG1M1uq8zIl05A9MmA,Covington Mill Restaurant,False,True,True,False,True,True,True,$$,3,False,False,False
2C1A6GzXXRi_eEieQAmyRg,Crazy Buffet,False,False,False,False,False,False,True,$$,3,False,False,True
LEvt2r5fIQ1Iquy7N3KvCA,Crydermans Barbecue,False,True,False,False,True,False,True,$$,4,False,False,False
J9e7IUn_FmZ7Y-OtUql6Ug,El Palacio Buffet,False,False,False,False,True,False,True,$$,3,False,False,False
GrVFM_LptHyjc29h1rjVaA,El Potro,False,True,True,False,True,False,True,$$,3,False,False,False
Gj18ANQXr8x9H8IVTKKX6Q,Estrella Latina,False,False,True,False,True,False,False,$,2,False,False,False
wdLw1A1ytkTB7RKY4gIkjA,Fresh Mediterranean Market,False,False,True,False,False,True,False,$$,3,False,False,False
aSrwFbp5NdtaHvZvRCSmeg,Garden Grill Restaurant,False,False,True,False,False,True,False,$$$,3,False,False,False
#NAME?,Garden Grove,False,False,True,False,False,True,True,$$,2,False,False,False
2CMrHsjj4R4mVzmetypyFw,Gateway To India,True,True,True,True,True,True,True,$$,3,False,False,False
YiNBEgOGONm1vq7QMfjkjg,Giant Panda,False,False,True,False,True,True,True,$$,2,False,False,True
lD62IuTkmNXwNc9_BNYr_w,Golden Corral Buffet & Grill,True,False,False,False,True,False,True,$$,2,False,False,False
EIVG9fe45-Meyg4uHv_2lQ,Golden Corral Buffet & Grill,True,False,False,False,True,False,False,$$,2,False,False,False
zqa5digfaYKtzgOnx8tzSQ,Golden Corral Buffet & Grill,True,False,False,False,True,False,True,$$,1,False,False,False
_Zn7bmef51dkorKR8M91sw,Golden Corral Buffet & Grill,True,False,False,False,True,False,True,$$,2,False,False,False
pOuNx0bkXJ1QibLSBxDgig,Golden Corral Buffet & Grill,True,False,False,False,True,False,True,$$,1,False,False,False
QfWyyGjzgzNY_Qy7LZFV4A,Golden Corral Buffet & Grill,True,False,False,False,True,False,True,$$,3,False,False,False
q2fO6kwLEa6PoCgy6_L1Dg,Golden Corral Buffet & Grill,True,False,True,False,True,False,True,$$,3,False,False,False
Tm_28r-suhH8dUkjRoMjAA,Golden Corral Buffet & Grill,True,False,False,False,True,False,True,$$,2,False,False,False
cKfE2R3q3jHOAQIS8_ahmg,Golden Corral Buffet & Grill,True,False,True,False,True,False,True,$$,2,False,False,False
HeHoNEvd1aWlmlyITaH9bw,Golden Corral Buffet & Grill,True,False,False,False,True,False,True,$$,2,False,True,False
6_xgMJrpfQWOBBcofc_QmQ,Golden Corral Buffet & Grill,True,False,False,False,True,False,False,$$,2,False,False,False
GE2mJQ-4v1ljxdr0wx0bIw,Harvest Bistro,False,True,True,False,True,True,False,$$,3,False,False,False
A8A9qhSztrqB6TFKjnq-hA,Hokkaido Chinese & Japanese Buffet,False,False,True,True,True,True,False,$$,3,False,False,True
4bPz2NYimJ8ZVozbxLwyCA,Hokkaido Chinese & Japanese Buffet,False,False,True,True,True,True,True,$$,2,False,False,True
6dLKGElV8Bt-1NhJNv8hKQ,Hollywood & Vine,False,False,True,False,False,True,False,$$$,2,False,False,False
iHmBoyZEWsJfryywZmrB8A,Ichiban Buffet,False,False,False,False,True,False,False,$$,2,False,True,True
25iE1snCllaN2fCKodDyuQ,Ichiban Buffet,False,False,True,False,True,False,False,$$,2,False,False,False
Sx0IM4UyHbrRrA6QeulcGQ,Ichiban Buffet,False,False,False,False,True,True,True,$$,2,False,False,True
GU4fAmdCcZDhIoq8kjBw1g,Ichigo Ichie Buffet,False,False,False,False,True,True,True,$$,2,False,False,False
jQjYkev1KJlxyy6qqaWaGA,Izziban Sushi And Korean BBQ,False,True,True,True,True,False,True,$$,3,False,False,False
qWMOGUtoOE_h4Uk1_WOe8Q,King Buffet,False,False,False,False,True,False,False,$,2,False,False,False
3oGGAVCSVyS2GTwsl1mi1g,Koywan Hibachi Buffet,False,False,True,False,True,True,True,$$,2,False,False,True
LKEN4LlImPf0WzaEsjpcdw,La China Blue,False,False,False,False,True,False,True,$,3,False,False,False
MBzso9nI1suMXtSLRkp0lg,Lai Lai Chinese Cuisine & Sushi Bar,False,False,False,False,True,True,True,$$,3,False,False,False
I6CqnODnNL8tbco4yC3XcQ,Latitude & Longitude,False,True,True,False,False,True,True,$$,3,False,False,False
QVQZnByRmO_w_IvzVE0fWA,Mandolin's,False,False,True,False,True,False,False,$$,2,False,False,False
fsMX2yJrYuJODzhyG8FqiA,Mei Asian China Buffet,False,False,False,False,True,False,True,$$,1,False,False,True
ZcrkL6bFAqRC1pnALJy5Og,Mikado Japanese Seafood Buffet,True,False,False,True,True,True,True,$$,3,False,False,False
1IX3hFAxdqKwuyt9oElDpw,Moghul Indian Cuisine,True,True,False,False,True,True,True,$$,3,True,False,False
2glp3Ug8GMrAYeP7JftPOA,Nine Spices Hot Pot,False,False,True,False,True,False,True,$$,3,True,False,False
DXAnXWLbvlpboR6ZwLauDA,Oreganatta,True,False,True,False,True,True,True,$,2,False,False,False
KuQ-dokC0jaKWL3-px8qGQ,Phil-Asian Foodmart,False,False,False,False,True,False,False,$,4,False,False,False
